Char_Left,Char_Right,Char_All,HwSim_LA,HwSim_RA,HwSim_LR,Cos_LMD,Cos_ST,hw_if_left,cos_if_left,form,nPD,nSememes,POS_first,freq,semefreq_first,concreteness,concreteness_left,concreteness_right,POS_first_left,POS_first_right,isDict
一,些,一些,0.3684210526315789,1.0,0.3684210526315789,0.6678098760846527,0.6910092201167859,0,0,数量,11,2,num,11583138,2,11583138,-1,2344133,num,adv,1
一,直,一直,0.3684210526315789,1.0,0.3684210526315789,0.5392433062638016,0.5491423828964728,0,0,01,3,2,adv,8013106,2,8013106,-1,1933805,num,adj,1
一,定,一定,0.3684210526315789,1.0,0.3333333333333333,0.5427250584703203,0.5886618135913724,0,0,01,10,5,adj,9214184,5,9214184,-1,3017491,num,adj,1
一,点,一点,0.3684210526315789,1.0,0.3684210526315789,0.629526691894067,0.7474847338287383,0,0,-1,11,12,noun,-1,12,-1,-1,-1,num,verb,0
一,边,一边,0.2633333333333333,1.0,0.3684210526315789,0.646505076656962,0.6146376818421042,0,0,01,2,4,adv,1832625,4,1832625,-1,3385425,num,adv,1
一,半,一半,0.3684210526315789,1.0,0.73,0.5660156910230372,0.620742798728122,0,0,-1,3,1,num,1227406,1,1227406,-1,2854116,num,num,1
一,共,一共,0.3684210526315789,1.0,0.3684210526315789,0.6679090645851866,0.7343803743437901,0,0,-1,3,1,adv,361970,1,361970,-1,3571523,num,adv,1
一,块,一块,1.0,0.3103448275862069,0.3043478260869565,0.6746122225845663,0.691217920180436,1,0,-1,5,2,num,-1,2,-1,-1,3871951,num,adj,0
一,同,一同,0.3333333333333333,1.0,0.3333333333333333,0.5253354181660304,0.4668053496532942,0,0,-1,1,1,adj,369555,1,369555,-1,7036037,num,prep,1
一,旁,一旁,0.2633333333333333,1.0,0.3684210526315789,0.6219752823721185,0.4962681077400711,0,0,-1,1,2,noun,321074,2,321074,-1,831624,num,adj,1
一,面,一面,0.3684210526315789,1.0,0.3684210526315789,0.6216877775515097,0.6286149859512753,0,0,定中,6,11,noun,969941,11,969941,-1,5188966,num,classifier,1
一,代,一代,0.2941176470588235,1.0,0.2992307692307692,0.6736469747975862,0.6452402946596812,0,0,-1,4,3,noun,-1,3,-1,-1,2517147,num,verb,0
一,对,一对,1.0,0.3333333333333333,0.3333333333333333,0.4344310695465952,0.4999591610739229,1,1,-1,3,5,noun,-1,5,-1,-1,56546971,num,verb,0
一,组,一组,1.0,0.2727272727272727,0.2727272727272727,0.6573476437136094,0.658673490731722,1,0,-1,1,1,num,-1,1,-1,-1,6693387,num,noun,0
一,带,一带,0.2633333333333333,1.0,0.2857142857142857,0.469613686425736,0.3891266636216153,0,1,-1,1,2,noun,419720,2,419720,-1,8410064,num,noun,1
一,行,一行,1.0,0.3974363636363636,0.3333333333333333,0.4699947768521042,0.548553493950909,1,1,-1,3,7,noun,434031,7,434031,-1,5478924,num,adj,1
一,侧,一侧,0.2633333333333333,1.0,0.2633333333333333,0.6839465084736339,0.6865727087253266,0,0,-1,1,2,noun,-1,2,-1,-1,1486856,num,verb,0
一,楼,一楼,0.2633333333333333,1.0,0.3684210526315789,0.6784301437620177,0.6777938258834083,0,0,-1,4,3,noun,-1,3,-1,-1,3562632,num,noun,0
一,再,一再,0.3684210526315789,1.0,0.3684210526315789,0.5944418636059258,0.4016599143122236,0,0,-1,3,1,adv,322593,1,322593,-1,15399566,num,adv,1
一,经,一经,0.205,1.0,0.3684210526315789,0.5616046468750625,0.4742376071372667,0,0,-1,2,1,conj,155537,1,155537,-1,4464018,num,noun,1
一,连,一连,0.3684210526315789,1.0,0.3684210526315789,0.5497708747637645,0.6242395908926704,0,0,-1,1,1,adj,114825,1,114825,-1,5495219,num,adv,1
一,如,一如,0.205,1.0,0.2857142857142857,0.6466223304147751,0.5008757574465648,0,0,-1,1,1,prep,76195,1,76195,-1,8284190,num,conj,1
一,晃,一晃,0.2631578947368421,1.0,0.25,0.5412304527376509,0.5828328534974364,0,0,状中,2,2,verb,70246,2,70246,-1,283350,num,verb,1
一,瞬,一瞬,0.2358823529411764,1.0,0.2358823529411764,0.5995133121940865,0.5525167188713405,0,0,-1,1,2,noun,47431,2,47431,-1,112356,num,noun,1
一,干,一干,1.0,0.3684210526315789,0.3684210526315789,0.462110835794317,0.4456978667961598,1,1,-1,1,1,num,53190,1,53190,-1,2922650,num,adv,1
一,任,一任,0.2558139534883721,1.0,0.3684210526315789,0.5779922991721347,0.4577734149379833,0,0,-1,2,4,noun,80673,4,80673,-1,1869955,num,verb,1
一,伙,一伙,1.0,0.2727272727272727,0.2727272727272727,0.7078072090748517,0.6296016021739761,1,0,-1,1,1,adj,-1,1,-1,-1,348484,num,noun,0
一,统,一统,0.2558139534883721,1.0,0.3684210526315789,0.5987649159673091,0.4266835602611226,0,0,-1,1,1,verb,29238,1,29238,-1,389683,num,verb,1
一,介,一介,1.0,0.3684210526315789,0.3684210526315789,0.6490740462828545,0.499129885226114,1,0,-1,1,1,num,13434,1,13434,-1,746219,num,noun,0
一,己,一己,0.2209090909090909,1.0,0.3333333333333333,0.6328090301543685,0.4375423808984592,0,0,-1,1,2,pron,26779,2,26779,-1,419617,num,pron,1
一,准,一准,0.205,1.0,0.3333333333333333,0.5934108969298129,0.4441755694415228,0,0,-1,1,1,adv,7511,1,7511,-1,1662405,num,adj,1
